epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,969.83,2.3262,3.05547,2.18959,0.36833,0.28068,0.2271,0.06559,2.25996,3.5945,2.22255,0.000663194,0.000663194,0.000663194
2,1882.26,2.32127,2.81195,2.21626,0.21914,0.24627,0.1474,0.03823,2.38308,3.15501,2.36192,0.00128598,0.00128598,0.00128598
3,2756.44,2.34479,2.81306,2.23923,0.32919,0.3534,0.22644,0.06503,2.42078,2.55561,2.269,0.00186476,0.00186476,0.00186476
4,3662.22,2.29184,2.75357,2.20206,0.27201,0.29851,0.18116,0.04762,2.45621,3.92752,2.52567,0.001802,0.001802,0.001802
5,4526.94,2.29429,2.71267,2.2022,0.31746,0.41045,0.29047,0.09188,2.28871,2.66583,2.26042,0.001736,0.001736,0.001736
6,5401.71,2.21507,2.62486,2.1348,0.53479,0.3806,0.36904,0.10785,2.17649,2.48912,2.15481,0.00167,0.00167,0.00167
7,6234.9,2.18162,2.57405,2.1347,0.42899,0.49627,0.40246,0.1435,2.16401,2.22302,2.08092,0.001604,0.001604,0.001604
8,7177.7,2.1418,2.5361,2.09445,0.54725,0.5322,0.49705,0.16859,2.09699,2.251,2.09451,0.001538,0.001538,0.001538
9,8107.13,2.14031,2.46866,2.07206,0.5285,0.47388,0.48298,0.17537,2.11966,2.03473,2.09381,0.001472,0.001472,0.001472
10,9040.68,2.07217,2.43724,2.02633,0.60609,0.48227,0.53316,0.20542,2.06239,2.04102,2.04058,0.001406,0.001406,0.001406
11,10283.7,2.07577,2.39981,2.03204,0.62083,0.53358,0.56023,0.21037,2.04683,1.93258,2.02632,0.00134,0.00134,0.00134
12,11235.9,2.04332,2.34812,1.99957,0.61572,0.53808,0.55661,0.19047,2.14079,1.95425,2.00945,0.001274,0.001274,0.001274
13,12194.2,2.03112,2.31748,1.98884,0.64393,0.59328,0.62647,0.22429,2.12053,1.77095,1.99622,0.001208,0.001208,0.001208
14,13156.6,1.9799,2.24385,1.96257,0.75759,0.53358,0.64507,0.25917,2.07214,1.75817,1.99719,0.001142,0.001142,0.001142
15,14131.8,1.98278,2.26008,1.95996,0.6495,0.58082,0.60738,0.22769,2.07095,1.84282,1.98775,0.001076,0.001076,0.001076
16,15095.1,1.97817,2.2091,1.93812,0.70701,0.59701,0.65679,0.24031,2.08468,1.73729,1.98847,0.00101,0.00101,0.00101
17,16085,1.95029,2.20441,1.93382,0.70569,0.60075,0.65465,0.25462,2.0783,1.67171,1.9676,0.000944,0.000944,0.000944
18,17053.4,1.92943,2.09654,1.88563,0.75228,0.56657,0.65794,0.25888,2.10426,1.649,1.97948,0.000878,0.000878,0.000878
19,18010,1.92063,2.10355,1.8997,0.78098,0.60821,0.71208,0.27896,2.02091,1.62976,1.94776,0.000812,0.000812,0.000812
20,18986.8,1.9091,2.08323,1.89297,0.72856,0.6194,0.71423,0.27359,2.08002,1.56571,1.9689,0.000746,0.000746,0.000746
21,19939.3,1.9358,2.08016,2.00264,0.78293,0.646,0.71855,0.27712,1.95307,1.61346,1.9295,0.00068,0.00068,0.00068
22,20887.3,1.89276,1.96728,1.94909,0.75457,0.63095,0.72146,0.29795,1.94825,1.55633,1.88836,0.000614,0.000614,0.000614
23,21841.1,1.85858,1.9406,1.93735,0.82244,0.60448,0.72318,0.26044,2.05637,1.63881,2.01825,0.000548,0.000548,0.000548
24,22775.1,1.85736,1.88667,1.93834,0.83752,0.59627,0.74943,0.32496,1.93872,1.44819,1.87705,0.000482,0.000482,0.000482
25,23782.1,1.83683,1.81481,1.89013,0.87342,0.64369,0.76652,0.32556,2.01691,1.42576,1.93626,0.000416,0.000416,0.000416
26,24711,1.82246,1.80007,1.89714,0.77071,0.69403,0.75983,0.33867,1.9556,1.38396,1.91114,0.00035,0.00035,0.00035
27,25630.6,1.79101,1.76665,1.88082,0.81461,0.66791,0.76985,0.28611,2.14104,1.44698,2.04356,0.000284,0.000284,0.000284
28,26560.6,1.77197,1.72627,1.85377,0.83382,0.66045,0.78056,0.33082,2.0023,1.38342,1.95396,0.000218,0.000218,0.000218
29,27483.8,1.75106,1.69214,1.84168,0.81335,0.68293,0.77644,0.32914,2.02211,1.40931,1.95651,0.000152,0.000152,0.000152
30,28416.9,1.74989,1.69235,1.8316,0.78208,0.70972,0.78054,0.34407,1.98067,1.34318,1.9275,8.6e-05,8.6e-05,8.6e-05
